text,g,frequency
Tyrone,M,404
Aimee,F,403
Annabella,F,403
Colten,M,403
Terrence,M,403
Felicity,F,402
Alena,F,401
Kaia,F,401
Darrell,M,401
Karlie,F,400
Tanya,F,400
Karli,F,398
Maeve,F,398
Jarrett,M,398
Ashanti,F,397
Barbara,F,397
Aliya,F,396
Evelin,F,396
Ashly,F,395
Alvaro,M,395
Iliana,F,393
Jaclyn,F,393
Addison,M,393
Roselyn,F,392
Braiden,M,391
Todd,M,390
Campbell,F,389
Marianna,F,388
Jakayla,F,387
Emerson,M,387
Kolby,M,387
Aryanna,F,386
Elyse,F,386
Aylin,F,385
Stephany,F,385
Ibrahim,M,385
Amiyah,F,384
Parker,F,384
Lee,M,384
Leonard,M,384
Rudy,M,384
Aria,F,383
Liana,F,383
Davin,M,383
Ayana,F,382
Cassie,F,382
Lesley,F,382
Ryann,F,381
Cedric,M,381
Deshawn,M,381
Keenan,M,381
Eileen,F,380
Makena,F,380
Emmett,M,380
Sydnee,F,379
Neil,M,379
Quintin,M,379
Brandy,F,378
Kaila,F,378
Tianna,F,378
Zaria,F,378
Alijah,M,378
Gilbert,M,378
Karson,M,378
Sherlyn,F,377
Elisha,M,376
Kole,M,376
Randall,M,374
Chaya,F,373
Aldo,M,373
Darian,M,373
Gia,F,372
Davon,M,372
Ronan,M,372
Adrienne,F,371
Aisha,F,371
Joslyn,F,371
Princess,F,371
Cristopher,M,371
Myah,F,370
Leland,M,370
Belinda,F,369
Junior,M,369
Romeo,M,369
Giana,F,368
Antoine,M,368
Aubrie,F,367
Aleah,F,366
Aracely,F,366
Taliyah,F,366
Efrain,M,366
Aiyana,F,365
Mollie,F,365
Jaquan,M,365
Waylon,M,365
Irvin,M,364
Carina,F,363
Coleman,M,363
Rhiannon,F,362
Trista,F,362
Esperanza,F,361
Harper,F,361
Rosemary,F,361
Saige,F,361
Camren,M,359
Duncan,M,359
Deja,F,358
Salma,F,358
Dominik,M,358
Gunner,M,358
Tyler,F,357
Alisa,F,356
Leanna,F,356
Aron,M,356
Frances,F,355
Jabari,M,355
Kolton,M,355
Talon,M,355
Addyson,F,354
Tatyana,F,354
Mohammed,M,354
Abigayle,F,353
Alexzander,M,353
Frida,F,352
Carol,F,351
Julianne,F,351
Kelsie,F,351
Elsa,F,350
Harold,M,349
Gretchen,F,348
Hailie,F,348
Shea,F,348
Amarion,M,348
Asa,M,348
Jefferson,M,348
Miah,F,347
Rowan,F,347
Amare,M,347
Brice,M,347
Kaiya,F,346
Misael,M,346
Aliza,F,345
Amiya,F,345
Shyanne,F,345
Xiomara,F,344
Kasey,M,344
Mohammad,M,344
August,M,343
Mattie,F,342
Julien,M,341
Annette,F,340
Colleen,F,340
Journey,F,340
Brycen,M,340
Kamron,M,340
Maximiliano,M,340
Draven,M,339
Dwayne,M,339
Eugene,M,339
Annabel,F,338
Brooks,M,338
Moshe,M,338
Sage,M,338
Zechariah,M,338
Yareli,F,337
Dashawn,M,337
Ashton,F,334
Tyrell,M,334
Brandi,F,333
Gracelyn,F,333
Ernest,M,333
Freddy,M,333
Desirae,F,332
Laurel,F,332
Libby,F,332
Leticia,F,331
Marlee,F,331
Tina,F,331
Aydan,M,331
Maverick,M,331
Destini,F,330
Clay,M,330
Jacey,F,329
Johana,F,329
Karly,F,329
Alonso,M,329
Corinne,F,328
Donte,M,328
Jaycee,F,327
Jaylene,F,327
Saniyah,F,327
Keagan,M,327
Lewis,M,327
Ada,F,326
Arabella,F,326
Rebeca,F,326
Brennen,M,326
Chelsey,F,325
Sincere,M,325
Joyce,F,324
Layne,M,324
Jaliyah,F,323
Sarahi,F,323
Dale,M,323
Justine,F,322
Lucille,F,322
Kenyon,M,322
Omari,M,322
Abril,F,321
Ciera,F,321
Mikalah,F,321
Octavio,M,321
Kayli,F,320
Lorelei,F,320
Tyree,M,320
Chasity,F,319
Lara,F,319
Magdalena,F,319
Dalia,F,318
Emery,F,318
Keely,F,318
Madalynn,F,318
Maura,F,318
Karley,F,316
Karol,F,316
Raina,F,316
Raphael,M,316
Wayne,M,316
Demarion,M,315
Arleth,F,314
Alessandro,M,314
Jair,M,314
Blanca,F,313
Ross,M,313
Sanaa,F,312
Toni,F,312
Ignacio,M,312
Oswaldo,M,312
Alize,F,311
Yahaira,F,311
